videoId;color_1_name;color_2_name;color_3_name
xDOXD7eJB2s;gray;gray;gray
-CHfvTvt20o;black;gray;gray
L22aUZ8bqxs;gray;gray;gray
L8C8jiJioPM;gray;gray;gray
H0osF4vL8Y4;gray;gray;gray
x7iMC_tFWwc;gray;gray;gray
QdoU2tZYJbQ;gray;gray;gray
csCD5G0yr30;black;gray;gray
DFW5Iigra_I;gray;gray;gray
eeCU4WihawM;gray;gray;gray
PTAIPhMRMjc;gray;gray;gray
oh4rFS7XUeo;black;brown;gray
CyHjX-rKL4s;gray;gray;gray
qoCy_Ou9HBY;black;brown;gray
JqLWLAuGJIQ;gray;gray;gray
K-DglFrPz7A;gray;gray;gray
hbdfH5sgEZw;gray;gray;gray
WKLJAuMchho;black;gray;gray
vnYXHVPl7xk;black;red;gray
m41mrmAVfbo;gray;gray;gray
NhhLIu2EMl4;gray;orange;turquoise
VG_beUq3ezE;black;gray;gray
uowN9W7_5RQ;black;pink;gray
bxKRmxMxkCg;gray;gray;gray
3Z_12UnCNRQ;black;gray;gray
IuaFTLCEuQs;black;gray;gray
hkV88OWD1gU;gray;gray;gray
huVHMO4bLc0;gray;gray;gray
_S58KFcLR8Q;gray;gray;gray
hq_6ni8YFDs;black;gray;gray
20S3gbfEDPE;gray;gray;gray
jZZIXZ-b4rc;black;pink;gray
hISlmdlMAto;black;pink;gray
E8oYH-COA_U;gray;gray;gray
hwkACDdJGSM;gray;black;gray
FeTRMFQfcuE;black;brown;green
wb38pcngHaE;gray;gray;gray
_A-tqbUNqJw;black;gray;gray
54ipMqdHflg;black;gray;gray
6wAztooaCvQ;gray;gray;gray
9fLA9G7dEHs;black;gray;gray
6ul4lqGYHEM;black;gray;gray
SbVgLv-zvpY;gray;gray;gray
uEFtt0dQAcI;gray;gray;gray
j0r0VJeD95w;gray;gray;gray
1V4wdMNhGio;black;gray;gray
StUsJfigz1k;black;pink;gray
Lwzd9S2288U;gray;gray;gray
BfkzjKES_h4;black;gray;gray
iU4Ecp3sr88;gray;gray;blue
XhhJJ7vDSsY;black;gray;gray
m-VBPsG1WX4;black;gray;gray
nADE_FVOu6c;gray;gray;gray
fg-dnfdTYpE;gray;gray;gray
COaUj1YyMxM;gray;gray;gray
KZI9PRg32Pg;black;gray;gray
2HAJ17rL8Gs;gray;gray;gray
4FWMxahJRXk;black;gray;gray
zS9vTgTbAc8;gray;gray;gray
fJ8tZ4bTxfg;gray;pink;green
NSwPUSqDhp4;gray;pink;blue
06XDN5WMjnM;gray;gray;green
AbM8XXSggxA;black;gray;gray
rygMsCQXtvA;brown;red;gray
bF5I3NBcBak;gray;gray;gray
NJdW7dMQRL4;gray;blue;turquoise
vO2kd8TgtcM;green;gray;gray
RqI1sSdgUSI;gray;gray;green
V-esdLFzpB4;black;gray;gray
6Sip4v9C698;gray;gray;gray
_HNspA9GyJU;gray;brown;gray
UjkJzAOg_IM;black;pink;gray
B6AlRuO2zRM;gray;gray;gray
oP38cEyzAac;black;gray;gray
_llTV31ag70;gray;gray;gray
1xWZCl2fQvA;gray;gray;gray
d3vcoO4tR8o;black;green;gray
Um3-Pks58PQ;gray;black;gray
sBG3ZG_lq54;gray;gray;gray
9PARlF1tKfg;gray;gray;gray
MTGfi3KlAvQ;gray;brown;gray
t-XraCaY1fs;black;gray;gray
yz__2JR7gCY;black;gray;gray
2oz25DZGx6g;gray;gray;gray
1EY5O6if8y8;black;gray;gray
3KwLaB5xC1I;gray;gray;green
Gzl34Me7eCs;black;gray;gray
duhDnCNE4_U;black;gray;gray
364omyRF58c;gray;beige;gray
CokFYI2l0qY;black;gray;gray
MpGNjTAEM2M;black;pink;gray
E7eQuZGhn8k;black;gray;gray
SvBYvf6M6q0;black;gray;gray
o-mi7IayG3c;green;gray;brown
-GzFEQBfu60;gray;gray;gray
uyxlTbsb57Y;black;gray;gray
KaniMo9mF6c;gray;gray;gray
HRwyvPDWdw4;gray;gray;gray
1q2_NF87mWA;turquoise;black;gray
YeccEy8_oTI;gray;pink;pink
ivY7fOtSIQA;gray;purple;blue
tjLpUvUWR6Y;green;gray;gray
RavfVOMJrk4;black;gray;gray
RtBGFH-hWk0;black;gray;gray
Gwougz56s-s;brown;black;brown
Zyqr46DI23Q;black;pink;gray
LZb-A-9QpDo;beige;black;brown
FqURJqEk9Us;brown;black;brown
E2ooQ50y8jQ;brown;black;brown
2-ix2SsKQv0;black;pink;gray
rn8WZHLtMdU;gray;gray;gray
6F2ETUbKVmo;black;gray;brown
MlJ-O4yHw64;gray;gray;gray
xwMvDpnHVi4;gray;gray;blue
R8N-oxLGUno;gray;gray;gray
