channelId;title;publishedAt;viewCount;subscriberCount_x;videoCount_x;engagement_x;publishedYear;publishedMonth;publishedDay;publishedWeekday;publishedHour;viewCount_video;likeCount;commentCount;color_1_r;color_1_g;color_1_b;color_2_r;color_2_g;color_2_b;color_3_r;color_3_g;color_3_b;viewCount_channel;subscriberCount_y;videoCount_y;engagement_y
UCar0yo-PpeMk51m116826pQ;Journal l'Humanité;2011-01-13T10:27:28Z;12413628;51700;2443;0.6223984526112185;2020.414342629482;6.938247011952191;15.231075697211155;2.5318725099601593;14.896414342629482;7707.633466135459;251.69660678642714;70.26546906187625;84.88645418326693;74.04780876494024;72.42231075697211;165.39641434262947;143.0378486055777;132.9223107569721;146.72509960159363;147.45219123505976;141.0577689243028;12413628.0;51700.0;2443.0;0.6223984526112185
UCXwDLMDV86ldKoFVc_g8P0g;BFMTV;2006-09-18T23:23:40Z;832146593;1270000;63637;0.138679718257874;2021.7249544626593;4.597449908925319;15.619307832422587;2.480874316939891;14.264116575591986;135944.97996357013;1020.1614785992218;768.9357798165138;51.123861566484514;47.810564663023676;67.93442622950819;198.37522768670308;184.53187613843352;190.22768670309654;141.63752276867032;152.24043715846994;173.2495446265938;832146593.0;1270000.0;63637.0;0.138679718257874
UC9x4Iyu-D257P0P-VDRwSzw;Libération;2008-05-21T15:14:08Z;767529;3000;80;3.520652173913043;2021.5520833333333;5.083333333333333;14.864583333333334;2.65625;16.78125;8640.958333333334;70.33333333333333;34.05434782608695;48.322916666666664;42.177083333333336;39.927083333333336;188.82291666666666;165.875;163.75;142.40625;146.90625;147.46875;767529.0;3000.0;80.0;3.520652173913043
UCIMGfEAERXjmWwQeg15BFsg;Europe 1;2006-03-19T03:16:06Z;634052116;1030000;107134;0.11928369261148593;2021.9813559322033;4.13728813559322;14.622033898305085;2.3847457627118644;13.152542372881356;78137.20677966102;848.9322033898305;379.6898305084746;51.99491525423729;57.02033898305085;79.04406779661016;165.0186440677966;152.5728813559322;157.8186440677966;126.57966101694915;144.535593220339;167.22033898305085;634052116.0;1030000.0;107134.0;0.11928369261148593
UC9GGzAhhvhJO1hL10-BcgNA;LeHuffPost;2015-10-01T12:27:42Z;953563674;1030000;15448;0.20115336885904078;2021.8082706766918;4.7556390977443606;15.808270676691729;2.81390977443609;15.18233082706767;112484.24248120301;1613.8007518796992;458.07894736842104;51.317669172932334;54.475563909774436;53.537593984962406;198.4436090225564;185.99812030075188;180.63533834586465;99.3796992481203;167.50375939849624;150.15037593984962;953563674.0;1030000.0;15448.0;0.20115336885904078
UCO6K_kkdP-lnSCiO3tPx7WA;franceinfo;2006-09-18T10:29:57Z;71594338;401000;11638;0.13752635578435884;2021.1769383697813;5.68986083499006;15.320079522862823;2.4254473161033796;15.03976143141153;82646.24453280318;448.254817987152;125.542;106.00198807157058;95.7037773359841;84.10337972166998;135.81510934393637;126.07355864811133;111.66600397614314;135.16699801192843;128.41948310139165;117.24254473161034;71594338.0;401000.0;11638.0;0.13752635578435884
UCrpsdF7UreiF-2r5Jp0YpRg;Ouest-France;2010-04-02T13:16:02Z;25794497;37800;15300;0.42865000785792867;2021.5296442687747;5.513833992094861;15.34189723320158;2.869565217391304;13.980237154150197;9652.640316205534;90.8794466403162;71.02574257425742;78.54545454545455;48.737154150197625;50.91304347826087;161.34782608695653;67.83794466403162;76.93873517786561;164.21343873517787;157.57707509881422;157.76284584980237;25794497.0;37800.0;15300.0;0.42865000785792867
UCUo1RqYV8tGjV38sQ8S5p9A;HugoDécrypte;2021-04-23T12:54:10.592875Z;24691150;634000;44;5.356583459059115;2021.7173913043478;4.521739130434782;16.130434782608695;2.869565217391304;18.934782608695652;580557.7608695652;31436.304347826088;2524.4347826086955;42.52173913043478;32.26086956521739;40.15217391304348;200.3695652173913;165.8695652173913;152.17391304347825;137.6304347826087;157.45652173913044;160.17391304347825;24691150.0;634000.0;44.0;5.356583459059115
UCwI-JbGNsojunnHbFAc0M4Q;ARTE;2010-11-18T12:54:57Z;203733701;2400000;1474;0.10109961970899471;2021.6746031746031;5.265873015873016;16.4265873015873;2.873015873015873;17.365079365079364;159867.0357142857;2039.6190476190477;386.7718253968254;71.58928571428571;66.04960317460318;63.97420634920635;176.375;151.11904761904762;140.7579365079365;147.0297619047619;146.29365079365078;142.20238095238096;203733701.0;2400000.0;1474.0;0.10109961970899471
UCtJk8WNzhAu37r-QBmY7pRA;La Croix;2013-01-03T14:05:36Z;10499976;26900;1376;0.244839120620423;2019.1117764471057;6.253493013972056;15.225548902195609;2.269461077844311;13.682634730538922;7669.27744510978;55.81563126252505;10.076;69.55888223552894;61.786427145708586;57.32934131736527;175.50898203592814;155.00199600798402;137.7185628742515;146.5548902195609;149.2195608782435;145.50698602794412;10499976.0;26900.0;1376.0;0.244839120620423
UChZWs6PJY0hND384d2_RrhQ;Les Echos;2012-12-04T14:28:39Z;35801155;141000;5442;0.2695417675287723;2021.4353876739563;5.652087475149106;15.79920477137177;2.1172962226640157;13.540755467196819;24014.143141153083;247.57455268389663;131.7445109780439;55.584493041749504;51.98210735586481;54.25248508946322;187.1709741550696;177.11332007952285;173.44135188866798;144.69781312127236;152.4910536779324;155.16699801192843;35801155.0;141000.0;5442.0;0.2695417675287723
UCD25QI36ly-8hWm9OPOz7aw;20Minutes FR;2006-10-17T14:26:16Z;29140087;55700;5992;0.12635752152458618;2022.0;3.812133072407045;16.08219178082192;2.4892367906066535;14.743639921722114;5298.303326810176;36.87475538160469;33.479371316306484;41.96086105675147;39.093933463796475;41.285714285714285;185.37377690802347;174.82778864970646;167.70645792563602;135.48140900195693;142.26810176125244;145.53816046966733;29140087.0;55700.0;5992.0;0.12635752152458618
UCU0DxnpHTAIO5WZ1Iq7GDqA;La Tribune;2017-05-08T12:20:21Z;591766;689;808;0.525219517423788;2019.6986027944113;6.283433133732535;15.99001996007984;2.9121756487025947;11.087824351297405;634.1696606786427;3.437125748502994;0.18163672654690619;77.80239520958084;71.84231536926147;69.0439121756487;156.3692614770459;143.38522954091817;138.81636726546907;138.63273453093814;136.42115768463074;133.8682634730539;591766.0;689.0;808.0;0.525219517423788
UCnIWNujSpiiuH29-TBCz9aw;VA Plus;2010-05-10T06:52:09Z;79147371;311000;725;2.302411896464306;2020.9041916167664;6.3053892215568865;15.043912175648703;2.754491017964072;17.297405189620758;137871.07984031935;5969.978043912176;1190.5229540918165;54.28942115768463;45.30938123752495;47.786427145708586;193.23552894211576;154.29341317365268;142.15369261477045;133.1936127744511;148.67664670658684;155.2115768463074;79147371.0;311000.0;725.0;2.302411896464306
UCXKJrYczY2_fJEZgFPGY0HQ;CNEWS;2006-03-30T14:18:33Z;215199608;451000;24126;;;;;;;;;;;;;;;;;;;;;;
